,単語,意味
782,accustom,慣れさせる
783,forecast,"予報,予測、予報,予報,予測"
784,resign,"辞職する,辞職する,〜を辞職する"
785,reasonable,"(価格が)手頃な,手頃な、妥当な,手ごろな、理にかなった,合理的な"
786,incline,…に気が向く
787,spokesperson,代弁者
788,utensil,"台所用具,台所用品"
789,accurate,"正確な,正確な,正確な,正確な"
790,bid,"入札／値をつける,入札／入札する"
791,prototype,"試作品,試作品、原型"
792,fiscal,会計の
793,spectator,"観客,観客"
794,inconvenience,"不自由,不便"
795,income,"収入,収入、収益,収益、利益"
796,situation,"状況,状況"
797,moreover,"その上,そのうえ、しかも,さらに,さらに"
798,fantastic,"すばらしい,素晴らしい"
799,detour,"迂回路,迂回路"
800,amateur,アマチュア
801,genre,ジャンル
802,thus,"したがって,このようにして、したがって,このように"
803,tend to do,…する傾向がある
804,overflow,"いっぱいになる,溢れる"
805,browse,"商品を見て回る,見て回る、拾い読みする"
806,validate,…だ正しいことを証明する
807,examine,"調査する,詳しく調べる、吟味する,〜を診察する、〜を調べる,調べる"
808,quote,"見積額,提示価格、引用,見積もり"
809,reward,"報酬,報いる、ほうびを与える／報酬、ほうび,報酬"
810,typical,"典型的な,典型的な,典型的な,典型的な"
811,guidebook,ガイドブック
812,mission,"任務,使命、任務,任務、使命"
813,average,"平均の,平均の"
814,asset,"有用な人／資産,財産、強み"
815,usage,使い方
816,respectively,"それぞれに,それぞれ、各々,それぞれ"
817,instant,"即時の,即時の、緊急の"
818,archive,"記録文書,公文書保管所、書庫"
819,vacancy,"空席,空き室,欠員"
820,enthusiastic,"熱意のある,熱心な、関心が高い、乗り気である,熱心な"
821,mere,"単なる,単なる"
822,seldom,"めったに…ない,めったに~しない,滅多に〜しない,めったに～ない"
823,workforce,"従業員,全従業員、労働力"
824,occupy,"占有する,占有する"
825,competence,能力
826,opposite,"逆の,反対側の,反対"
827,utilize,"利用する,〜を利用する,活用する"
828,intensive,"短期集中的な,集中的な"
829,insight,"理解／見識,洞察、洞察力"
830,skip,"省く,〜を抜かす"
831,explanation,"説明,説明,説明"
832,devote,"ささげる,捧げる"
833,discontinue,"中止する,生産や販売の継続を止める"
834,truly,"本当に,真に"
835,kickoff,開始
836,entertainment,"娯楽,エンターテイメント"
837,neutral,中立の
838,biography,"伝記,伝記"
839,precise,正確な
840,factor,"要因,要因、要素,因子"
841,conform,"従う,従う、一致する"
842,eventually,"結局,最終的には、結局,結局は,結局"
843,reputation,"評判,評判,評判,評判"
844,curb,"縁石／抑制する,縁石"
845,innovative,"刷新的な,革新的な,革新的な,革新的な"
846,malfunction,"不調,不調、故障,誤作動、(機械などの)不調"
847,crucial,"重大な,非常に重要な"
848,prerequisite,"必須条件,必要条件"
849,reluctant,"いやに思う,気が進まない"
850,principle,"原理／原則,原理、原則,主義"
851,perceive,理解する
852,cooperation,"協力,協力、協業,協力"
853,controversial,"物議をかもす,議論を引き起こす、議論の的になる,議論の余地のある"
854,reinforce,"強化する,強化する"
855,worldwide,"世界中の,世界的な／世界中で,全世界"
856,empty,"空の,空にする,〜を空にする,空の"
857,fundamental,"基本的な／必須の,基本の、基礎の,基本的な"
858,heritage,"文化的遺産,伝統、遺産"
859,sensitive,"敏感な,機密の,デリケートな、感受性の鋭い,敏感な"
860,execute,"実行する,実行する,実行する"
861,gradually,"だんだんと,徐々に、段階的に,徐々に"
862,declare,"宣言する,〜を宣言する"
863,beside,"…のそばに,横に"
864,struggle,"…しようと努力する,奮闘する、もがく、苦心する,奮闘する"
865,domestic,"国内の,国内の,国内の"
866,duration,"期間,継続期間"
867,complicated,"複雑な,複雑な"
868,maintain,"維持する,維持する、メンテナンスする,〜を維持する,維持する"
869,origin,"起源,起源"
870,infrastructure,社会基盤
871,dramatic,劇的な
872,engagement,"約束／関与,約束,婚約"
873,calculate,"計算する,計算する,〜を計算する,計算する"
874,installment,"(分割払いの)支払い,分割払いの1回分"
875,population,"人口,人口,人口"
876,manuscript,"原稿,原稿,原稿"
877,imagine,"想像する,〜を想像する"
878,encounter,"直面する／経験する,直面する、遭う、出くわす"
879,milestone,段階
880,concept,概念／コンセプト
881,reimburse,"返済する,（払ったお金）を払い戻す,〜を返済する"
882,freelance,フリーランス
883,useful,"役に立つ,役に立つ"
884,excessive,"過度の,過度の、度を越えた,過度な"
885,absence,欠席／欠如
886,reply,"返信／返事をする,〜に応答する、返答する,返答する"
887,shortage,"不足,不足"
888,scope,"範囲,範囲、余地"
889,landlord,家主
890,background,"背景,経歴、背景,経歴,背景"
891,bargain,"バーゲン品／交渉する,お買い得品、取引"
892,invaluable,貴重な
893,remote,"遠い,人里離れた、可能性が低い"
894,cite,"(理由や例を)挙げる,引用する、引き合いに出す、言及する,〜に言及する"
895,coincidence,"偶然の一致,偶然"
896,rapid,"速い,急速な"
897,feasible,"実行可能な,実現可能な"
898,streamline,"(仕事を)合理化する,合理化する、簡略化する"
899,quota,"割当量／ノルマ,販売ノルマ"
900,attribute,"…に原因があると考える,起因すると考えられる、おかげであるとする"
901,forthcoming,今度の
902,overwhelming,圧倒的な
903,adequate,"…するのに十分な,（要求を満たすのに）十分な、適切な,十分な,十分な"
904,mandatory,"義務的な,義務の、強制の"
905,redeem,(現金に)換える
906,apprenticeship,見習い期間
907,culinary,"食事の,料理の"
908,applause,"拍手／賞賛,拍手,拍手、賞賛"
909,discard,"捨てる,捨てる"
910,overlook,"見落とす,見逃す,〜を見落とす"
911,proceeds,"売上高,収益,収益、利益"
912,aboard,"(船や飛行機に)乗って,船に乗って"
913,adhere,"(忠実に)従う,忠実である、実行する、接着する"
914,commission,"手数料,委託する、委任する／委員会、歩合,手数料"
915,specification,"仕様書,仕様書"
916,convince,"納得させる,確信させる、納得させる"
917,specify,"明細に述べる,明記する"
918,disclosure,公開
919,projection,"予測／見通し,予測"
920,outlay,出資金
921,prohibit,"禁止する,禁じる"
922,expedite,"促進する,早める、促進させる"
923,mentor,助言者
924,offset,埋め合わせる
925,remodel,"改造する,改築する,〜を改築する"
926,nursery,園芸店
927,resolve,"解決する,解決する"
928,dismantle,解体する
929,chronicle,年代記
930,turnout,"出席者,参加者数"
931,bulk,"大部分,多量、大きさ"
932,resume,"再開する,再開する,再開する"
933,inlay,はめ込む
934,obstacle,"障害物,障害,障害物"
935,retrieve,"検索する,取り出す、取り戻す,〜を取り戻す、〜を回収する"
936,compliance,"法令遵守,（法律・規則等の）順守,法令遵守"
937,undertake,"引き受ける,引き受ける,〜を引き受ける"
938,endeavor,"試み,努力、試み／努力する,努力する"
939,unload,"荷物をおろす,（荷物など）を降ろす,（荷物など）を降ろす"
940,adopt,"採用する,採用する、導入する,を適用する"
941,adapt,"適応させる,適応する、適応させる、改作する"
942,abandon,捨てる
943,congestion,"混雑,混雑"
944,prestigious,"一流の,権威のある、誉れ高い"
945,acclaim,ほめたたえる
946,deliberate,"故意の,故意の、入念な"
947,designate,"指名する,〜を…に任命する"
948,attest,証明する
949,stroll,散歩する
950,amend,修正する
951,praise,"賞賛の言葉,ほめる、賞賛する"
952,nominate,"推薦する,ノミネートする,〜を指名する"
953,retain,"保持する,保管する、持ち続ける,保持する"
954,slate,予定する
955,novice,"初心者,初心者"
956,alternative,"代案,代わりの／代案、選択肢"
957,admire,"感心する,賞賛する、感心する,〜に感心する"
958,gratitude,"感謝の気持ち,感謝"
959,compile,"編集する,取りまとめる、編集する"
960,duplicate,"複製する,複製の、二重の,複製"
961,affiliate,"系列会社,子会社"
962,tailor,"合わせて作る,仕立屋、テーラー"
963,aspire,熱望する
964,tutor,教師
965,alike,"同様に,同様に／よく似た,似た"
966,compensate,"補う,補償する"
967,periodic,定期的な
968,disturb,"邪魔をする,邪魔する、悩ませる,〜をかき乱す、〜を混乱させる"
969,candid,率直な
970,anonymous,"匿名の,匿名の"
971,assure,"保証する,保証する、確信させる,〜を保証する"
972,thoroughly,"徹底的に,徹底的に"
973,imprint,刻み込む
974,disrupt,"中断させる,混乱させる"
975,afterward,"その後で,あとで"
976,originate,"生じる,起源とする"
977,versatile,"多目的な,多才な"
978,bypass,迂回路
979,awning,日よけ
980,ample,"十分な,十分な、あり余るほどの,広大な"
981,contrast,"差異／対比する,対照、はっきりした違い／対照的である"
982,fragile,"壊れやすい,壊れやすい,壊れやすい"
983,coin,(新語を)造り出す
984,promptly,"遅延なく,すばやく、きっかりに、即座に,即座に"
985,unconventional,型にはまらない
986,conditional,"条件付きの,条件とする,条件付きの"
987,accountable,責任がある
988,landmark,"歴史的な建物,ランドマーク、目印、名所"
989,steep,"急な／大幅な,大幅な、急な,険しい、急激な"
990,await,待つ
991,intermittent,断続的な
992,pursue,"追求する,追及する、遂行する、続行する"
993,exposition,説明／展示会
994,cozy,"居心地の良い,居心地のよい"
995,overhaul,改善
996,rundown,手短な報告
997,roundup,総括
998,neither,"どちらも…でない,いずれもない"
999,enclose,"同封する,同封する、囲む,〜を同封する"
1000,labor,"（肉体的な）労働,労働,労働"
1001,explain,"説明する,〜を説明する,説明する"
1002,experiment,"実験、試み／実験する,実験"
1003,find out,発見する、気がつく
1004,relatively,"相対的に、比較的,比較的,比較的"
1005,infer,推察する、考える
1006,following,"~に続いて／次の、以下の,次の,支持している"
1007,accomplish,"成し遂げる、完遂する、達成する,達成する,達成する"
1008,refer,"参照する、言及する、（人を）紹介する,を参照する"
1009,demonstrate,"実演する、明示する,実演する,実証"
1010,booking,（ホテルや乗り物の）予約
1011,assemble,"組み立てる、集める,〜を組み立てる"
1012,obey,従う
1013,contract,"契約、契約書,契約,契約"
1014,agency,"代理店、取扱店、機関,代理店,代理店"
1015,double,"2倍になる、倍増する,〜を2倍にする,二つの、二倍の"
1016,release,"発表する、発売する,〜を公表する"
1017,a couple of ~,２、３の
1018,relax,ゆるめる、和らげる
1019,profitable,"もうかる、利益になる,儲かる,収益"
1020,introduce,"紹介する、導入する,〜を導入する,導入する、紹介する"
1021,destroy,破壊する
1022,graduate,"卒業する,卒業生,卒業する"
1023,pleased,"喜んで、満足して,喜んで"
1024,entertain,"もてなす、楽しませる,〜を楽しませる"
1025,argue,議論する、口論する
1026,likely,"おそらく／~しそうだ,ありそうな【副】たぶん,起こりそうな"
1027,lead,"~を導く,率いる"
1028,star,"主演する、呼び物にする,星"
1029,state,"述べる、言う,〜を述べる,〜を述べる,状態、言う"
1030,basis,"ベース、基準、根拠,基準,基礎"
1031,suffer,"被る、受ける,（被害など）を被る"
1032,propose,"提案する、申し出る,〜を提案する"
1033,environmental,"環境の,環境の"
1034,clothing,"衣類,衣服,衣料品"
1035,pick up,~を車で拾う、迎えに行く、受け取る
1036,tradition,伝統、しきたり
1037,exclude,"~を除く、排除する,〜を排除する"
1038,take part in,参加する、出場する
1039,possess,"所有する,〜を所有する"
1040,exhibit,"展示物、展示会／展示する,展示"
1041,invest,"投資する、注ぎ込む,投資する"
1042,opening,"空き、開店、就職口,開いている"
1043,session,時間、集まり
1044,host,"主催する、接待する,〜を主催する,主人"
1045,transform,変える、変容させる
1046,note,"注意する、述べる／メモ,〜ということに気をつける,注記、メモを取る"
1047,notice,"お知らせ／~に気づく,通知,知らせる、お知らせ"
1048,instruct,"指示する、教える,〜に指導する"
1049,dispute,"異議を唱える,論争する"
1050,deliver,"（商品など）を届ける,〜を配達する,運ぶ"
1051,participate,"参加する、関与する,参加する"
1052,simulate,まねる、模倣する
1053,apply,"応募する、応用する,適用する"
1054,instruction,説明書、説明、指示
1055,membership,"会員、会員資格、会員数,会員,会員"
1056,loosen,ゆるめる
1057,based,"拠点のある、基づく,基本とする"
1058,focus,"集中させる、照準を合わせる,集中する,注目する"
1059,result,"結果／（結果的に）生じる,結果"
1060,mail,"郵送する,メール"
1061,shift,"移す、変更する,〜を変える、移動させる"
1062,accept,"受け入れる、受け付ける,〜を受け入れる,受け入れる"
1063,admiration,感心、称賛
1064,latest,"最新の,最新の"
1065,availability,手に入ること、利用できること
1066,transportation,"輸送手段,交通手段,交通機関"
1067,announce,"発表する、知らせる、公表する,〜を公表する,を発表する"
1068,set up,設置する
1069,blame,~のせいにする、非難する
1070,policy,"規定、方針,主義,政策,ポリシー"
1071,indicate,"示す,を示す"
1072,impression,"（心に残る）印象,印象"
1073,sweep,"掃く、掃除する,〜を掃除する,掃引"
1074,reserve,"予約する、確保する／蓄え,〜を保留する"
1075,resident,"住民、住人,居住者"
1076,offer,"申し出る、提供する,〜を提供する、申し出る,申し出る"
1077,create,"創造する、作り出す,〜を生み出す,作成する"
1078,go over ~,~をじっくりと調べる
1079,mention,"述べる、言及する／言及,〜を述べる,言及する、述べる"
1080,load,"荷物を積む,読み込む、積み込む"
1081,production,"生産、作品,製造、生産,生産"
1082,favor,"善意の行為／~の方を好む,願い"
1083,employer,"雇用主,雇用者"
1084,fire,"解雇する,〜を解雇する,火"
1085,located,"位置して,位置した"
1086,profitability,"利益率、利益性,収益性"
1087,analyze,"~を分析する,〜を分析する"
1088,publication,"出版物,出版"
1089,commute,"通勤する,通勤する"
1090,stock,"株式、在庫（品）／（物）を蓄える,在庫"
1091,information,"情報、インフォメーション,情報,情報"
1092,detail,"詳細／詳しく述べる,詳細"
1093,downtoun,中心街の／中心街に［で］／中心街
1094,attain,"~を実現する、達成する,達成する"
1095,treat,"~を取り扱う、処理する,〜を治す"
1096,graduation,卒業（式）
1097,relationship,"関係（性）,関係,関係"
1098,turn in,提出する、返却する
1099,corporation,"法人,会社,法人"
1100,regarding,"~に関して,～に関して"
1101,recover,取り戻す、回復する
1102,article,"記事、（契約書など）の条項、品物,記事"
1103,contribution,"貢献、寄付金,業績"
1104,renovate,改装する、修理する
1105,confess,告白する
1106,growth,"成長、発展,増加,成長"
1107,considerable,"（量や程度が）かなりの,かなりの"
1108,sign up for,申し込む
1109,reduction,"減少、削減,削減,削減"
1110,regard,みなす、考える
1111,solve,"~を解く、解決する,〜を解決する,解決"
1112,pass out,配る
1113,activity,"活動、アクティビティー,活動"
1114,refuse,"拒む、断る,〜を拒否する"
1115,print,"活字体で書く,印刷"
1116,authorize,"公認する、権限を与える,権限を与える、資格を与える"
1117,counsel,助言する、相談する
1118,advertising,"広告（業）、宣伝（活動）,広告"
1119,stop by,立ち寄る
1120,correctly,正しく、正確に
1121,saving,節約、値引き
1122,water,"水をやる,〜に水を撒く,水"
1123,prove,"わかる、証明する,〜を証明する"
1124,firm,"会社,会社,固い"
1125,rank,位置する
1126,pour,"注ぐ,〜を注ぐ"
1127,datermine,決定する、決意する
1128,lay off,解雇する
1129,selection,"選ぶこと、選択,品揃え,選択"
1130,feed,"食べさせる、餌を与える,〜に餌を与える"
1131,present,"与える、提示する,現在の"
1132,object,"反対する、異議を唱える,目的,物、目的"
1133,face,"（~の方を）向く、直面する,〜と向き合う（〜に直面する）,顔"
1134,fuel,"燃料,燃料,燃料"
1135,skill,"技能、スキル,技術"
1136,bear,"持つ,〜に耐える,熊"
1137,temporarily,"一時的に,一時的な"
1138,preserve,"保護する、保存する,〜を保護する"
1139,forward,"転送する、進める,〜を転送する【副】前へ,前に進む、前に"
1140,because of ~,~のせいで、~のおかげで
1141,enough,"十分な／十分に,十分に"
1142,vary,"変わる,異なる"
1143,qualified,"資格条件を満たした,資格のある,資格を与えた"
1144,coordinate,（複数の人や物）をまとめる、調整する
1145,distribution,"流通、配布、分配,分配"
1146,affect,"影響する、作用する,～に影響を及ぼす,に影響を与える"
1147,boost,~を強化する、増加させる
1148,take care of ~,~の世話をする
1149,account,"占める、説明する／口座・説明,口座,口座"
1150,constructive,建設的な、前向きな
1151,look up,調べる
1152,reason,"理由、動機,理由"
1153,export,"輸出／~を輸出する,輸出,〜を輸出する"
1154,finance,"資金を調達する、融資する,財源,財政"
1155,defend,~を（攻撃から）守る、（~を）防御する
1156,rely on,~に依存する、頼る
1157,implication,影響、暗示、言葉の意味合い
1158,proportion,比例、（~に対する）割合、比率
1159,inovolve,~を伴う、（人）を巻き込む
1160,grant,"（権利など）を与える／助成金,〜を与える,助成金、報償"
1161,tip,アドバイス、秘訣
1162,alter,"変更する、作り変える,〜を変える"
1163,operation,"操作、運転、事業,営業,操作"
1164,proof,"証拠、証明,証拠"
1165,enthusiasm,"熱中、熱狂,熱意,熱意"
1166,seriously,"まじめに、深刻に,真剣に"
1167,imply,ほのめかす、暗示する
1168,accompany,"添付する、同行する,〜に同行する"
1169,settle,"解決する,〜を解決する、〜に住む"
1170,stimulate,"刺激する,〜を刺激する"
1171,correspondence,（文書などの）やりとり、通信
1172,found,"設立する、創立する,設立する,設立する、見つけた"
1173,point out,指摘する
1174,reference,"照会先、照会、参照,参照"
1175,possibility,"可能性,可能性"
1176,fill out,記入する
1177,determination,決意すること、決断力の強さ
1178,inspect,"検査する、点検する,検査する"
1179,regret,"残念に思う、悔いる,後悔する"
1180,discussion,"議論、話し合い,議論"
1181,acquisition,（企業の）買収、獲得
1182,draw,引く、描く
1183,retailer,小売業者
1184,break,"休憩、中断、破壊／~を壊す,休憩,壊す"
1185,address,"話す、対処する,演説する,住所"
1186,bring up,持ち出す、提起する、育てる
1187,restrict,~を制限する
1188,develop,"開発する、発達する,開発する"
1189,hang,"掛かる,かける、吊るす"
1190,expectation,"期待、予想,見込み"
1191,locate,所在を探し当てる
1192,role,"（人の）役割,役割,役割"
1193,match,"調和する、似合う,（matchは見た目が）合う,試合"
1194,pharmaceutical,製薬の、調剤の
1195,interest,"利子、興味／（人）に興味を持たせる,利子,関心"
1196,post,"提示する、投稿する,地位,ポスト、投函する"
1197,spread,"広げる、掛ける,〜を広げる,広げる"
1198,comfortably,快適に、楽に
1199,organize,"計画する、組織する,〜を組織する"
1200,trust,"信用／~を信用する,信頼する、信頼"
1201,challenge,"（能力を試される）課題、挑戦,難問,挑戦する、挑戦"
1202,catalog,"目録を作る、分類する,カタログ"
1203,obtain,"取得する、得る,達成する,保つ"
1204,electricity,"電気、電力,電気"
1205,permission,"許可、承諾,許可,許可"
1206,enable,可能にする
1207,afford,"~する余裕がある,〜を買う余裕がある,余裕のある"
1208,foreigh,外国の、異質の
1209,proceed,"進む、続行する,進む"
1210,indispensable,必須の、絶対必要な
1211,take over,引き継ぐ
1212,achieve,"達成する,達成する,達成する"
1213,sign up,~に登録する、契約する
1214,operate,"操作する、運営する,操作する"
1215,wave,"手を振る,波"
1216,compete,"競争する,競争"
1217,unit,"1個、単位,ユニット、組の"
1218,suspect,~だろうと思う、疑う
1219,stress,"強調する,〜を強調する,ストレス"
1220,arrangement,"手配、準備,準備"
1221,glance,"チラッと見る,ちらっと見ること"
1222,chair,"議長を務める、司会する,議長を務める"
1223,evaluate,"評価する,〜を評価する"
1224,simplify,~を単純化する、簡素化する
1225,widen,広げる
1226,administrate,運営する
1227,polish,磨く
1228,consist,から成る、で構成される
1229,reach,"連絡をとる,到着する"
1230,combine,"組み合わせる、結合する,〜を統合する"
1231,foresee,予見する、予測する
1232,lower,"下げる、低くする,低い"
1233,divide,"分割する,〜を分ける"
1234,tie,結ぶ
1235,paid,"有給の、支払い済みの,払った"
1236,observe,"観察する,（法律など）を守る、〜を観察する,観察する"
1237,hand out,配る
1238,surround,"囲む,〜を囲む"
1239,conserve,保存する、保護する
1240,plug,差し込む、接続する
1241,rent,"家賃／賃貸借する,賃貸料,〜を賃貸する,家賃"
1242,hang up,電話を切る
1243,appeal,"懇願する、アピールする,訴え,〜を訴える"
1244,sew,縫う
1245,entitle,"権利を与える,資格を与える"
1246,memo,"社内文書,社内連絡,メモ"
1247,take place,行われる
1248,lean,寄りかかる、立て掛ける
1249,ease,和らげる、容易にする
1250,run out,が不足する、尽きる
1251,store,"保存する、蓄える、しまっておく,〜をしまい込む,店、保管する"
1252,editor,"編集者,編集者"
1253,identify,"特定する、気づく,〜が誰かわかる,識別する"
1254,paddle,パドルで漕ぐ
1255,appoint,"任命する、指名する,〜を…に任命する"
1256,leading,"首位の、一流の,トップの,導いている"
1257,advertise,"宣伝する,〜を宣伝する,宣伝"
1258,try on,試着する
1259,limited,"限られた,限定した、限定された"
1260,experienced,"経験豊富な,経験豊かな,経験豊富な"
1261,author,"著作、作者／（本を）書く,作家,著者"
1262,directly,"直接に、直行して,直接に"
1263,balance,"残金、バランス,残高,バランス"
1264,relief,安らぎ、緩和、除去
1265,vase,花瓶
1266,supplier,"納入業者、供給業者,サプライヤー"
1267,patio,テラス、中庭
1268,line,"ライン、線,在庫商品、回線,ライン、線"
1269,packaging,梱包、パッケージ
1270,description,"説明、記述、描写,描写"
1271,period,"期間,期間,期間"
1272,property,"不動産、資産,財産,財産"
1273,capacity,"能力、収容力,生産能力,容量"
1274,extension,"内線、延長,内線,拡張"
1275,celebration,お祝い、祝典
1276,flyer,チラシ、広告
1277,assistance,"支援、援助,支援,支援"
1278,study,"研究、調査,研究,勉強する"
1279,headquarters,"本社,本社"
1280,effect,"効果,影響,効果"
1281,cutlery,食器
1282,intended,"意図された、向けられた,意図した"
1283,expense,"費用、経費,費用,費用"
1284,satisfied,"満足した,満足した"
1285,resonable,（値段が）手ごろな、妥当な
1286,donation,"寄付,寄付"
1287,unable,"（~することが）できない,できない"
1288,legal,"法律に関する、合法の,合法な,法的な"
1289,agreement,"契約（書）、同意（書）、合意・協定,協定,合意"
1290,warehouse,"倉庫,倉庫"
1291,recommendation,"推薦,推薦"
1292,claim,"申し立て、主張、所有権／主張する,苦情,主張する、不満を言う,請求する、クレーム"
1293,insurance,"保険,保険,保険,保険"
1294,departure,"出発、逸脱,出発,出発"
1295,effrctive,効果的な
1296,former,"前の、かつての／前者,前の,元の、前の"
1297,modern,"現代的な、近代的な,現代の,近代の"
1298,option,"選択肢、オプション,選択,選択"
1299,efficient,"効率的な,効率的な"
1300,manufacturer,"メーカー、製造業者,製造会社,メーカー、製造者"
1301,agricultural,農業の
1302,historical,歴史（上）の
1303,helpful,"役立つ、助けになる,助かる、参考になる"
1304,range,"範囲,範囲,範囲"
1305,setting,"環境,環境,設定"
1306,related,"関連した,関連"
1307,simply,"単純に、単に,簡単に、単に,単に"
1308,promotion,"昇進、販売促進,販売促進,プロモーション"
1309,concerning,"~に関する,に関している"
1310,fit,"合う、入る,（fitはサイズが）合う,適する"
1311,arrival,"到着,到着,到着"
1312,component,部品
1313,enjoyable,楽しい
1314,existing,従来の、既存の
1315,landscaping,造園
1316,occasion,"特別な行事、（何かが起こる）時、好機,機会"
1317,connection,接続、つながり、関連、乗り継ぎ
1318,eager,"~したがる、熱望する,熱心な"
1319,fairly,"かなり,まあまあ,かなり"
1320,guided,ガイド付きの
1321,advanced,"進んだ、上級の、高度な,先進の,高度な"
1322,atmosphere,"雰囲気,雰囲気、大気,雰囲気"
1323,separate,"分かれた、別々の／分ける,〜を分ける"
1324,occasionally,"時々,時々"
1325,serious,"重大な、真剣な、重要な,深刻な,深刻な"
1326,brief,短い、短時間の
1327,strength,"強さ、強度、（液体等の）重さ,強さ"
1328,full-time,常勤の
1329,overall,"全体の／全体として,全体的な"
1330,informal,"非公式の、カジュアルな,形式ばらない、非公式の"
1331,complex,"複合施設、集合住宅／複雑な,複雑な,複雑な"
1332,renowned,名高い、著名な
1333,depend on ~,~次第である、~に頼る
1334,sudden,"急な、突然の,突然の"
1335,look forward to ~,~を楽しみにする
1336,electronic,"電子の、電子的な,電子"
1337,preparation,"準備、用意,準備"
1338,access,"~にアクセスする／アクセス,接近、アクセスする,アクセス"
1339,duty,"任務、職務、関税,役割,義務"
1340,security,"安全、無事,警備,セキュリティ"
1341,exception,"例外,例外"
1342,acceptable,"許容の、受け入れることのできる,受け入れられる,許容できる"
1343,particularly,"特に,特に"
1344,in advance,事前に
1345,own,"~を所有する／自分の,〜を所有する,自身の"
1346,involved,"関わった,関与した"
1347,economical,経済的な、節約の
1348,case,"状況、場合,事例,事件、ケース"
1349,automobile,"自動車の／自動車,自動車"
1350,staff,"スタッフ,スタッフ"
1351,possibly,"ひょっとすると、もしかすると,ひょっとしたら,可能性のある"
1352,market,"市場／~を市場で売る,市場,市場"
1353,rise,"増える、上昇する,上昇する,上る"
1354,sales representaive,販売員、営業担当者
1355,salary,"給料,給料,給与"
1356,fulfill,"満たす、果たす,実行する"
1357,in the event of ~,万一~の場合には
1358,reflection,熟考、反射
1359,weigh,"~の重さを量る、~の重さがある,〜の重さを測る"
1360,development,"開発、発達、発展,開発,開発"
1361,governor,"知事,知事"
1362,practice,"習わし、開業、実施,習慣,練習する"
1363,strict,"（人や規制が）厳しい,厳しい"
1364,responsibility,"（人や物に対する）責任,責任,責任"
1365,impressive,"印象的な、素晴らしい,印象的な,印象的"
1366,defeat,"（敵）を負かす／敗北、負け,敗北"
1367,establishment,"設立（制定）すること、組織,機関,設立"
1368,favorable,"好都合の、好意的な,好意的な,好ましい"
1369,label,~にラベル［レッテル］を貼る／ラベル
1370,extra,"余分の、特別の、追加の,追加の,エキストラ、余分の"
1371,clerical,"事務の、書記の,事務員(事務の)"
1372,institution,"機関、団体,機関,機関"
1373,substance,物質、実体
1374,awareness,"意識、気づいていること,意識"
1375,pile,"積み重ねた山／~を積み重ねる,〜を積み重ねる"
1376,shipment,"（商品の）発送、船積み,発送,出荷"
1377,installation,"インストール、取り付け,インストール"
1378,occupation,"職業,職業"
1379,chemical,"薬品、化学物質,化学物質,化学"
1380,pharmacy,薬局
1381,media,"媒体、マスメディア,メディア"
1382,railing,"手すり、ガードレール,手すり"
1383,competitive,"競争の、他に負けない、競争力がある,競争力のある,競争力"
1384,trend,"動向、トレンド,傾向"
1385,diner,食事客
1386,microscope,"顕微鏡,顕微鏡"
1387,exclusively,"限定で、独占的に,独占的に,排他的"
1388,stool,（背もたれのない）いす
1389,fellow,仲間
1390,party,"グループ、当事者,一行、集まり,パーティー"
1391,hospitality,"おもてなし、接待,おもてなし"
1392,bureau,案内所、事務局
1393,guidelines,指針、ガイドライン
1394,series,"連続、シリーズ,シリーズ"
1395,tourism,観光事業、観光客
1396,debate,"議論、討論,討論する"
1397,concentration,集中
1398,edition,版
1399,wealth,豊富さ、富
1400,minutes,"議事録、分,分（複数）"
1401,journey,旅行、行程
1402,generation,"世代、代、同時代,世代"
1403,draft,"原稿、下書き,下書き、草案"
1404,completion,"完了、完成,完成,完了"
1405,comfort,"快適さ、満足、慰め,快適さ"
1406,savings,"貯蓄、節約,貯蓄"
1407,division,"部門、分割、課,部門,部門"
1408,kitchenware,台所用品
1409,excuse,"弁解、口実,言い訳"
1410,difficulty,"困難、問題点,困難"
1411,measure,"対策、手段,測定"
1412,drawing,"抽選会、素描,スケッチ"
1413,rate,"割合、料金,率,比率"
1414,presence,存在感、出席
1415,chief,長、上司
1416,economy,"経済、節約,経済,経済"
1417,output,"生産高、産出,生産高"
1418,shelter,"避難所、収容施設,避難所"
1419,alert,"警報、警告／知らせる,警報、警告"
1420,drawer,"引き出し,引き出し"
1421,memorandum,社内文書、覚え書き
1422,packet,小包、袋
1423,productivity,"生産性,生産性"
1424,plant,"工場,工場,〜を植える,植物"
1425,cancellation,取り消し、キャンセル
1426,wing,"ウイング、ビルの一角,翼"
1427,lawn,"芝生,芝生"
1428,copy,"（本・雑誌などの）冊・部、写し,コピー"
1429,work,"作品、仕事,働く"
1430,authority,"権限、権威、当局,権威,権限"
1431,amount,"量,量"
1432,pedestrian,"歩行者,歩行者"
1433,scale,"規模、目盛り,はかり,規模"
1434,disease,"病気,病気"
1435,suburb,郊外
1436,distinctive,独自の、特色となる
1437,persuasion,説得、説得力
1438,acceptance,"受諾、受け入れ、採用、合格,受け入れ"
1439,slope,坂、斜面
1440,discretion,裁量の自由、分別
1441,lack,"不足、欠乏,欠員,不足"
1442,analyst,アナリスト、専門の分析者
1443,sponsor,"~のスポンサーをする／スポンサー,広告主,スポンサー"
1444,secretary,"秘書,秘書,秘書"
1445,manager,"マネージャー、経営者,上司、管理者,管理者、マネージャー"
